Liczebnosc INAC CSA[ns] ETA[ns] Korzysc sr_OE sr_ACC AP(ACC>=MAA) min_ACC max_ACC D_ACC
10000 4 257.19 229.84 10.6342 3.1002 100 100 100 100 100
10000 8 229.05 211.75 7.55294 52.5052 100 100 99.9997 100 100
10000 12 239.83 213.63 10.9244 822.512 99.9999 100 99.9971 100 100
10000 16 225.06 185.74 17.4709 6434.37 99.9996 100 99.9478 100 100
10000 20 383.05 265.81 30.607 188033 99.9881 100 99.2631 100 100
10000 24 274.93 204.31 25.6865 3.36902e+06 99.7867 99.88 84.6348 100 100
10000 28 293.43 194.79 33.6162 5.41364e+07 96.9573 79.09 57.2277 100 100
50000 4 240.184 242.572 -0.994238 3.12726 100 100 100 100 100
50000 8 232.248 212.364 8.56154 51.6775 100 100 99.9997 100 100
50000 12 222.89 193.06 13.3833 827.772 99.9999 100 99.9951 100 100
50000 16 897.78 183.898 79.5164 6540.76 99.9996 100 99.9367 100 100
50000 20 228.496 178.496 21.8822 186069 99.9879 99.998 91.5702 100 100
50000 24 222.674 158.712 28.7245 3.3493e+06 99.7854 99.886 69.0747 100 100
50000 28 229.91 158.45 31.0817 5.3581e+07 96.9351 79.558 52.1543 100 100
100000 4 241.046 226.583 6.0001 3.12429 100 100 99.9999 100 100
100000 8 236.881 218.007 7.96771 51.3011 100 100 99.9993 100 100
100000 12 234.693 202.238 13.8287 814.876 99.9999 100 99.9842 100 100
100000 16 233.405 189.923 18.6294 6530.04 99.9996 100 99.8385 100 100
100000 20 229.333 174.308 23.9935 184786 99.9882 100 95.8639 100 100
100000 24 224.391 163.865 26.9735 3.32033e+06 99.788 99.895 59.7252 100 100
100000 28 226.524 152.06 32.8725 5.34375e+07 96.9578 79.774 50.6149 100 100
200000 4 233.443 230.169 1.40227 3.13114 100 100 99.9999 100 100
200000 8 239.316 216.917 9.3598 51.36 100 100 99.9983 100 100
200000 12 231.395 199.661 13.7144 817.975 99.9999 100 99.9596 100 100
200000 16 237.974 193.968 18.4918 6523.81 99.9996 100 99.7116 100 100
200000 20 234.984 178.763 23.9254 185279 99.9881 100 95.8639 100 100
200000 24 277.05 252.774 8.7623 3.31477e+06 99.789 99.903 59.7252 100 100
200000 28 241.157 160.338 33.5132 5.35492e+07 96.9419 79.6145 50.6149 100 100
1000000 4 245.813 239.342 2.63249 3.13772 100 100 99.9997 100 100
1000000 8 231.035 213.017 7.79903 51.2122 100 100 99.9983 100 100
1000000 12 240.923 208.097 13.6252 820.004 99.9999 100 99.9236 100 100
1000000 16 235.077 190.974 18.7611 6548.93 99.9996 100 99.0819 100 100
1000000 20 233.811 180.082 22.9798 185232 99.988 99.9998 92.2154 100 100
1000000 24 250.79 183.337 26.8962 3.3305e+06 99.7871 99.898 52.7888 100 100
1000000 28 243.742 162.114 33.4897 5.35556e+07 96.9347 79.5787 50.2897 100 100
